source_id,title,source_class,scope,region_or_lineage,url,evidence_state,notes
OFF-JP-GS-POKEMON,Official Pokémon Gold/Silver product page,official,Gold/Silver retail metadata,JP,https://www.pokemon.co.jp/game/other/gbc-gs/,PUBLIC_REFERENCE,"Release date, hardware/peripheral and official overview"
OFF-JP-GS-NINTENDO,Historical Nintendo Gold/Silver page,official_historical,Gold/Silver contemporary product information,JP,https://www.nintendo.co.jp/n02/dmg/kingin/index.html,PUBLIC_REFERENCE,"Contemporary Nintendo-era context"
OFF-JP-GS-NINTENDO-RETRO,Nintendo Gold/Silver retrospective series,later_official_retrospective,Official retrospective on mechanics history and guidebook production,JP,https://www.nintendo.com/jp/topics/article/796988d3-bea5-11e7-8cda-063b7ac45a6d,PUBLIC_REFERENCE,"Later official recollections; includes official-guide author Motomiya Shusuke and links to multi-part series"
OFF-IT-GOLD-NINTENDO,Nintendo Italia Pokémon Versione Oro page,official_regional,Italian Gold product/release information,IT,https://www.nintendo.com/it-it/Giochi/Game-Boy-Color/Pokemon-Versione-Oro-266076.html,PUBLIC_REFERENCE,"Official Italian regional product source; use for market/release chronology"
OFF-FR-GOLD-NINTENDO,Nintendo France Pokémon Version Or page,official_regional,French/European Gold product and release information,FR/EU,https://www.nintendo.com/fr-fr/Jeux/Game-Boy-Color/Pokemon-Version-Or-266076.html,PUBLIC_REFERENCE,"Lists GBC publication date 2001-04-06 and European language set"
OFF-ES-GOLD-NINTENDO,Nintendo España Pokémon Edición Oro page,official_regional,Spanish/European Gold product and release information,ES/EU,https://www.nintendo.com/es-es/Juegos/Game-Boy-Color/Pokemon-Edicion-Oro-266076.html,PUBLIC_REFERENCE,"Lists GBC launch 2001-04-06 and European language set"
DIS-JP-GS-NARISHMA,Narishma-gb/pokesilver,public_disassembly,Gold/Silver Rev.0 Rev.1 debug,JP,https://github.com/Narishma-gb/pokesilver,PUBLIC_REFERENCE,"Japanese retail/debug lineage; public hashes"
DIS-UE-GS-PRET,pret/pokegold,public_disassembly,Gold/Silver UE debug patch,UE,https://github.com/pret/pokegold,PUBLIC_REFERENCE,"International comparison source; public hashes"
DIS-KR-GS-NARISHMA,Narishma-gb/pokegold-kr,public_disassembly,Gold/Silver Korean WIP,KR,https://github.com/Narishma-gb/pokegold-kr,PUBLIC_REFERENCE,"README states base ROMs required; Korean charmap lineage"
DIS-KR-GS-GREATPRICE-KO,Greatpriceman/pokegold-ko,historical_disassembly,Korean Gold/Silver incomplete disassembly and assets,KR,https://github.com/Greatpriceman/pokegold-ko,PUBLIC_REFERENCE,"Historical Korean reverse-engineering lineage; MD5 identities and Korean-function/export material"
DIS-HIST-GS-GREATPRICE-KR,Greatpriceman/pokegold-kr,historical_disassembly,Older Gold/Silver disassembly branch with Korean-localization goal,UE/KR-research,https://github.com/Greatpriceman/pokegold-kr,PUBLIC_REFERENCE,"Historical project lineage; retain for commit/history archaeology, not as an independent retail baseline"
DEV-SW-GS-PRET,pret/pokegold-spaceworld,development_disassembly,Space World prototype lineage,JP-development,https://github.com/pret/pokegold-spaceworld,PUBLIC_REFERENCE,"Development material; keep separate from retail; public nondebug/debug Gold and Silver prototype hashes"
DEV-SW-GS-EN,pokegold-spaceworld-en English translation,derivative_development_project,English translation of Space World 1997 disassembly,development-derivative,https://github.com/pokegold-spaceworld-en/pokegold-spaceworld-en,PUBLIC_REFERENCE,"Derivative translation; useful for research navigation but never primary prototype evidence"
DEV-SW-GS-RESTORED,monhacks/spaceworld-gold-restored,derivative_restoration,Restoration experiments on Space World 1997 demo,development-derivative,https://github.com/monhacks/spaceworld-gold-restored,PUBLIC_REFERENCE,"Restoration/fix project; distinguish changed content from preserved prototype data"
TECH-GS-DATACRYSTAL,Data Crystal Gold/Silver overview,technical_database,Release/header overview,multi,https://datacrystal.tcrf.net/wiki/Pok%C3%A9mon_Gold_and_Silver,PUBLIC_REFERENCE,"Secondary cross-check"
TECH-GS-ROMMAP,Data Crystal Gold/Silver ROM map,technical_database,ROM/address/data map,mainly_localized,https://datacrystal.tcrf.net/wiki/Pok%C3%A9mon_Gold_and_Silver%3AROM_map,PUBLIC_REFERENCE,"Must be reconciled with modern disassemblies"
TECH-GS-RAMMAP,Data Crystal Gold/Silver RAM map,technical_database,Runtime memory map,mainly_UE,https://datacrystal.tcrf.net/wiki/Pok%C3%A9mon_Gold_and_Silver%3ARAM_map,PUBLIC_REFERENCE,"Secondary RAM reference"
TECH-KR-GS-CHARMAP,Bulbapedia Korean character encoding Gen II,community_technical,Korean encoding and communication notes,KR,https://bulbapedia.bulbagarden.net/wiki/Korean_character_encoding_(Generation_II),PUBLIC_REFERENCE,"Discovery/cross-check source; verify against disassembly"
PRES-GS-TASVIDEOS,TASVideos Pokémon Gold/Silver/Crystal version list,preservation_catalogue,Checksums and revision identities,multi,https://tasvideos.org/Games/294/Versions/List,PUBLIC_REFERENCE,"Independent checksum/revision cross-check; catalogue rather than primary retail source"
PRES-GOLD-OPENRETRO,OpenRetro Pokémon Gold Version metadata,preservation_catalogue,No-Intro-derived regional Gold identities,multi,https://openretro.org/gbc/pokemon-gold-version/edit,PUBLIC_REFERENCE,"Regional SHA-1 catalogue; verify with additional sources"
PRES-GOLD-DORANDO,Dorando Pocket Monsters Kin catalogue,legacy_preservation_catalogue,Regional Gold checksums and naming,multi,https://dorando.emuverse.com/html/pocket-monsters-kin.html,PUBLIC_REFERENCE,"Legacy independent checksum catalogue"
HW-GS-GBHWDB,Game Boy Hardware Database Generation II cartridge records,hardware_preservation,Cartridge product codes PCB and board variants,multi,https://gbhwdb.gekkio.fi/cartridges/DMG-AAUD-0/,PUBLIC_REFERENCE,"Regional product-code and physical cartridge evidence"
HW-KR-GOLD-GBHWDB,GBHWDB Pocket Monsters Geum cartridge record,hardware_preservation,Korean Gold physical cartridge identity,KR,https://gbhwdb.gekkio.fi/cartridges/CGB-AAUK-0/,PUBLIC_REFERENCE,"Observed CGB-AAUK-KOR cartridges on DMG-KGDU-10 with MBC3B"
BIB-JP-GS-INDEX-GAMEPRES,Game Preservation Society Gold/Silver bibliography index,bibliographic_preservation,Index of Japanese contemporary Gold/Silver books and guides,JP,https://www.gamepres.org/catalog-index/,PUBLIC_REFERENCE,"Discovery index for multiple 1999-2000 guidebooks; each title must be opened and catalogued individually"
BIB-JP-GS-CLEAR-GAMEPRES,Game Preservation Society Gold/Silver Adventure Clear Guide,bibliographic_preservation,Contemporary Japanese guidebook record,JP,https://www.gamepres.org/catalog/?id=8814004682009,PUBLIC_REFERENCE,"Media Factory; first printing 1999-12-22; bibliographic/context source"
BIB-JP-GS-DEX-GAMEPRES,Game Preservation Society Gold/Silver Pokédex Completion Guide,bibliographic_preservation,Contemporary Japanese guidebook record,JP,https://www.gamepres.org/catalog/?id=8814004683006,PUBLIC_REFERENCE,"Media Factory; first printing 2000-05-01; bibliographic/context source"
BIB-JP-GS-TRAINER-GAMEPRES,Game Preservation Society Gold/Silver Strongest Trainer Guide,bibliographic_preservation,Contemporary Japanese guidebook record,JP,https://www.gamepres.org/catalog/?id=8814004692008,PUBLIC_REFERENCE,"Kodansha; first printing 2000-01-14; bibliographic/context source"
BIB-JP-GS-T2-GAMEPRES,Game Preservation Society Game Boy Gold/Silver Strategy Guide,bibliographic_preservation,Contemporary Japanese guidebook record,JP,https://www.gamepres.org/catalog/?id=8814004690004,PUBLIC_REFERENCE,"T2 Publishing; first printing 2000-01-12"
BIB-JP-GS-MAP-GAMEPRES,Game Preservation Society Gold/Silver Complete Strategy Map and Story,bibliographic_preservation,Contemporary Japanese guidebook record,JP,https://www.gamepres.org/catalog/?id=8814004689008,PUBLIC_REFERENCE,"MediaWorks; first edition 2000-01-10"
BIB-JP-GS-STORY-GAMEPRES,Game Preservation Society Gold/Silver Story Strategy BOOK,bibliographic_preservation,Contemporary Japanese guidebook record,JP,https://www.gamepres.org/catalog/?id=8814004681002,PUBLIC_REFERENCE,"Contemporary Japanese strategy-book record; catalog metadata retained for bibliography census"
BIB-UE-GS-NINTENDOPOWER,Pokémon Gold and Silver Official Nintendo Player's Guide,bibliographic_official_guide,Official English-language Nintendo Power guide,NA,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Gold_and_Silver%3A_Official_Nintendo_Player%27s_Guide,PUBLIC_REFERENCE,"Secondary bibliographic page; locate catalogue/scan/physical metadata separately"
BIB-UE-GS-PRIMA,Pokémon Gold & Silver Prima's Official Strategy Guide,bibliographic_licensed_guide,Licensed English-language strategy guide,NA,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Gold_%26_Silver%3A_Prima%27s_Official_Strategy_Guide,PUBLIC_REFERENCE,"Bibliographic/discovery source; guide claims must be checked against game source"
EVENT-JP-GEN2-BULBA,Bulbapedia Japanese Generation II event distribution index,community_event_index,Japanese event Pokémon distribution leads,JP,https://bulbapedia.bulbagarden.net/wiki/List_of_Japanese_event_Pok%C3%A9mon_distributions_in_Generation_II,PUBLIC_REFERENCE,"Incomplete community index; useful leads include Space World 2000 Celebi, World Hobby Fair Celebi, Shogakukan and Mystery Egg campaigns; primary announcements must be sought"
PRESS-KR-GS-GAMEMECA,GameMeca Korean Gold/Silver game database,regional_press_database,Korean release metadata,KR,https://www.gamemeca.com/,PUBLIC_REFERENCE,"Reports release 2002-04-24; exact date remains attached to source conflict audit"
PRESS-KR-GS-INVEN,Inven Pokémon history retrospective,regional_press_retrospective,Korean localization/release history,KR,https://www.inven.co.kr/webzine/news/?news=150878,PUBLIC_REFERENCE,"Reports official Korean release 2002-04-24 via Daewon C.I.; retrospective source"
PRESS-KR-GS-EDAILY,Edaily Daewon C.I. Gold/Silver sales report,contemporary_press,Korean sales and release-month wording,KR,https://www.edaily.co.kr/News/Read?mediaCodeNo=257&newsId=02430486570203096,PUBLIC_REFERENCE,"2003 article tied to Daewon sales announcement says released 'last May'; conflicts with commonly reported 2002-04-24 exact date"
BUG-GEN2-BULBA,Bulbapedia Generation II glitch list,community_database,Glitches and quirks,multi,https://bulbapedia.bulbagarden.net/wiki/List_of_glitches_(Generation_II),PUBLIC_REFERENCE,"Discovery index; verify each claim from code/primary research"
BUG-CR-PRET,pret/pokecrystal bugs and glitches corpus,technical_source_analysis,Crystal bugs plus explicit Gold/Silver comparison/fixes,GenII,https://github.com/pret/pokecrystal/blob/master/docs/bugs_and_glitches.md,PUBLIC_REFERENCE,"Large source-level bug corpus; use only Gold/Silver-relevant entries when importing conclusions"
UNUSED-CR-PRET,pokecrystal useful unused data and routines,technical_research_index,Unused routines/data with Generation II development links,GenII,https://github-wiki-see.page/m/pret/pokecrystal/wiki/Useful-unused-data-and-routines,PUBLIC_REFERENCE,"Discovery aid for shared/legacy unused material; verify in source and keep Crystal-only material separate"
